Indiv.ID,Survey_Round,Assay_Round,Assay_Type,Activity
BS_1,1,1,Foraging,0
BS_1,1,2,Foraging,0
BS_1,1,3,Foraging,0
BS_1,1,1,Novel,2
BS_1,1,2,Novel,0
BS_1,1,3,Novel,0
BS_1,1,1,Predator,0
BS_1,1,2,Predator,0
BS_1,1,3,Predator,0
BS_1,2,1,Foraging,2
BS_1,2,2,Foraging,2
BS_1,2,3,Foraging,0
BS_1,2,1,Novel,0
BS_1,2,2,Novel,0
BS_1,2,3,Novel,0
BS_1,2,1,Predator,0
BS_1,2,2,Predator,0
BS_1,2,3,Predator,0
BS_1,3,1,Foraging,3
BS_1,3,2,Foraging,0
BS_1,3,3,Foraging,2
BS_1,3,1,Novel,0
BS_1,3,2,Novel,1
BS_1,3,3,Novel,0
BS_1,3,1,Predator,1
BS_1,3,2,Predator,0
BS_1,3,3,Predator,0
BS_1,4,1,Foraging,0
BS_1,4,2,Foraging,0
BS_1,4,3,Foraging,0
BS_1,4,1,Novel,0
BS_1,4,2,Novel,0
BS_1,4,3,Novel,0
BS_1,4,1,Predator,7
BS_1,4,2,Predator,0
BS_1,4,3,Predator,0
BS_1,5,1,Foraging,2
BS_1,5,2,Foraging,0
BS_1,5,3,Foraging,0
BS_1,5,1,Novel,0
BS_1,5,2,Novel,0
BS_1,5,3,Novel,0
BS_1,5,1,Predator,6
BS_1,5,2,Predator,1
BS_1,5,3,Predator,0
BS_1,6,1,Foraging,4
BS_1,6,2,Foraging,0
BS_1,6,3,Foraging,0
BS_1,6,1,Novel,6
BS_1,6,2,Novel,13
BS_1,6,3,Novel,9
BS_1,6,1,Predator,2
BS_1,6,2,Predator,0
BS_1,6,3,Predator,0
BS_1,7,1,Foraging,2
BS_1,7,2,Foraging,37
BS_1,7,3,Foraging,4
BS_1,7,1,Novel,1
BS_1,7,2,Novel,0
BS_1,7,3,Novel,0
BS_1,7,1,Predator,5
BS_1,7,2,Predator,0
BS_1,7,3,Predator,0
BS_10,1,1,Foraging,47
BS_10,1,2,Foraging,6
BS_10,1,3,Foraging,17
BS_10,1,1,Novel,18
BS_10,1,2,Novel,21
BS_10,1,3,Novel,5
BS_10,1,1,Predator,1
BS_10,1,2,Predator,0
BS_10,1,3,Predator,0
BS_10,2,1,Foraging,26
BS_10,2,2,Foraging,13
BS_10,2,3,Foraging,0
BS_10,2,1,Novel,0
BS_10,2,2,Novel,0
BS_10,2,3,Novel,0
BS_10,2,1,Predator,0
BS_10,2,2,Predator,0
BS_10,2,3,Predator,2
BS_101,1,1,Foraging,1
BS_101,1,2,Foraging,0
BS_101,1,3,Foraging,8
BS_101,1,1,Novel,23
BS_101,1,2,Novel,19
BS_101,1,3,Novel,24
BS_101,1,1,Predator,10
BS_101,1,2,Predator,18
BS_101,1,3,Predator,25
BS_101,2,1,Foraging,47
BS_101,2,2,Foraging,28
BS_101,2,3,Foraging,14
BS_101,2,1,Novel,2
BS_101,2,2,Novel,0
BS_101,2,3,Novel,0
BS_101,2,1,Predator,14
BS_101,2,2,Predator,19
BS_101,2,3,Predator,0
BS_101,3,1,Foraging,35
BS_101,3,2,Foraging,18
BS_101,3,3,Foraging,27
BS_101,3,1,Novel,38
BS_101,3,2,Novel,30
