Indiv.ID,Assay_Type,Activity,Survey_Round
BS_1,Foraging,24.469,1
BS_1,Novel,2,1
BS_1,Predator,26.236,1
BS_1,Foraging,26.66,2
BS_1,Novel,75.17,2
BS_1,Predator,37.628,2
BS_1,Foraging,3,3
BS_1,Novel,69,3
BS_1,Predator,76.033,3
BS_1,Foraging,89.396,4
BS_1,Novel,0,4
BS_1,Predator,0,4
BS_1,Foraging,51.704,5
BS_1,Novel,32.011,5
BS_1,Predator,0,5
BS_1,Foraging,73.256,6
BS_1,Novel,9.071,6
BS_1,Predator,1,6
BS_1,Foraging,0,7
BS_1,Novel,0,7
BS_1,Predator,73.787,7
BS_10,Foraging,67,1
BS_10,Novel,48.414,1
BS_10,Predator,64.625,1
BS_10,Foraging,42.273,2
BS_10,Novel,53.162,2
BS_10,Predator,0,2
BS_101,Foraging,10.078,1
BS_101,Novel,2.414,1
BS_101,Predator,120.707,1
BS_101,Foraging,31.677,2
BS_101,Novel,11,2
BS_101,Predator,38.73,2
BS_101,Foraging,51.18,3
BS_101,Novel,104.288,3
BS_101,Predator,72.475,3
BS_101,Foraging,42,4
BS_101,Novel,48.757,4
BS_101,Predator,76.937,4
BS_101,Foraging,1,5
BS_101,Novel,5,5
BS_101,Predator,0,5
BS_102,Foraging,3.236,1
BS_102,Novel,2,1
BS_102,Predator,64.409,1
BS_102,Foraging,2,2
BS_102,Novel,36.22,2
BS_102,Predator,84.872,2
BS_102,Foraging,26,3
BS_102,Novel,91.169,3
BS_102,Predator,0,3
BS_103,Foraging,0,1
BS_103,Novel,62.556,1
BS_103,Predator,86.901,1
BS_103,Foraging,21.301,2
BS_103,Novel,99.226,2
BS_103,Predator,22,2
BS_103,Foraging,2.236,3
BS_103,Novel,17.752,3
BS_103,Predator,6.828,3
BS_103,Foraging,31.95,4
BS_103,Novel,5,4
BS_103,Predator,3,4
BS_104,Foraging,31,1
BS_104,Novel,29.236,1
BS_104,Predator,31.661,1
BS_104,Foraging,6,2
BS_104,Novel,10.16,2
BS_104,Predator,0,2
BS_104,Foraging,85.744,3
BS_104,Novel,0,3
BS_104,Predator,0,3
BS_104,Foraging,0,4
BS_104,Novel,13.03,4
BS_104,Predator,0,4
BS_105,Foraging,45.772,1
BS_105,Novel,0,1
BS_105,Predator,38.419,1
BS_105,Foraging,35.576,2
BS_105,Novel,3,2
BS_105,Predator,20.479,2
BS_105,Foraging,0,3
BS_105,Novel,0,3
BS_105,Predator,39.907,3
BS_105,Foraging,24.083,4
BS_105,Novel,0,4
BS_105,Predator,19.797,4
BS_12,Foraging,69.863,1
BS_12,Novel,0,1
BS_12,Predator,14.472,1
BS_12,Foraging,1,2
BS_12,Novel,63.412,2
BS_12,Predator,1,2
BS_12,Foraging,2,3
BS_12,Novel,153.322,3
BS_12,Predator,12,3
BS_12,Foraging,23.67,4
BS_12,Novel,0,4
BS_12,Predator,1,4
BS_12,Foraging,33.513,5
BS_12,Novel,22.398,5
BS_12,Predator,15.009,5
BS_12,Foraging,8.65,6
BS_12,Novel,69.459,6
BS_12,Predator,8.236,6
BS_12,Foraging,21.085,7
BS_12,Novel,1,7
BS_12,Predator,105.424,7
BS_15,Foraging,58,1
BS_15,Novel,0,1
BS_15,Predator,33.591,1
BS_15,Foraging,31.246,2
BS_15,Novel,23.099,2
BS_15,Predator,42,2
BS_15,Foraging,0,3
BS_15,Novel,14.055,3
BS_15,Predator,27.071,3
BS_15,Foraging,1,4
BS_15,Novel,1,4
BS_15,Predator,22,4
BS_15,Foraging,0,5
BS_15,Novel,0,5
BS_15,Predator,2,5
BS_15,Foraging,46,6
BS_15,Novel,19.22,6
BS_15,Predator,2,6
BS_15,Foraging,49.242,7
BS_15,Novel,4.576,7
BS_15,Predator,102,7
BS_16,Foraging,48,1
BS_16,Novel,84.47,1
BS_16,Predator,24.537,1
BS_16,Foraging,1,2
BS_16,Novel,7,2
BS_16,Predator,10,2
BS_16,Foraging,63,3
BS_16,Novel,31.236,3
BS_16,Predator,9,3
BS_16,Foraging,7,4
BS_16,Novel,22,4
BS_16,Predator,33.099,4
BS_16,Foraging,40,5
BS_16,Novel,7,5
BS_16,Predator,0,5
BS_16,Foraging,28,6
BS_16,Novel,28,6
BS_16,Predator,0,6
BS_16,Foraging,5,7
BS_16,Novel,53,7
BS_16,Predator,0,7
BS_17,Foraging,0,1
BS_17,Novel,0,1
BS_17,Predator,95.162,1
BS_17,Foraging,50,2
BS_17,Novel,1,2
BS_17,Predator,0,2
BS_17,Foraging,2.236,3
BS_17,Novel,0,3
BS_17,Predator,0,3
BS_17,Foraging,21.049,4
BS_17,Novel,16.643,4
BS_17,Predator,30.884,4
BS_19,Foraging,5,1
BS_19,Novel,77.662,1
BS_19,Predator,8,1
BS_19,Foraging,33.319,2
BS_19,Novel,52.123,2
BS_19,Predator,19.246,2
BS_19,Foraging,8,3
BS_19,Novel,0,3
BS_19,Predator,16.414,3
BS_19,Foraging,80,4
BS_19,Novel,23.398,4
BS_19,Predator,32,4
BS_19,Foraging,47.886,5
BS_19,Novel,88.831,5
BS_19,Predator,0,5
BS_19,Foraging,0,6
BS_19,Novel,21.206,6
BS_19,Predator,37.952,6
BS_19,Foraging,0,7
BS_19,Novel,10,7
BS_19,Predator,24.247,7
BS_2,Foraging,12.773,1
BS_2,Novel,1,1
BS_2,Predator,43.173,1
BS_2,Foraging,11,2
BS_2,Novel,1,2
BS_2,Predator,19.062,2
BS_2,Foraging,1,3
BS_2,Novel,1,3
BS_2,Predator,50.16,3
BS_2,Foraging,73.478,4
BS_2,Novel,11.083,4
BS_2,Predator,1,4
BS_2,Foraging,2,5
BS_2,Novel,3,5
BS_2,Predator,36,5
BS_2,Foraging,9,6
BS_2,Novel,3,6
BS_2,Predator,2,6
BS_2,Foraging,0,7
BS_2,Novel,0,7
BS_2,Predator,0,7
BS_21,Foraging,85.019,1
BS_21,Novel,16.28,1
BS_21,Predator,7,1
BS_21,Foraging,0,2
BS_21,Novel,3.414,2
BS_21,Predator,0,2
BS_21,Foraging,102,3
BS_21,Novel,43,3
BS_21,Predator,17,3
BS_21,Foraging,0,4
BS_21,Novel,20.236,4
BS_21,Predator,30.776,4
BS_21,Foraging,57.991,5
BS_21,Novel,20,5
BS_21,Predator,18.922,5
BS_22,Foraging,2,1
BS_22,Novel,42.236,1
BS_22,Predator,16,1
BS_22,Foraging,27.842,2
BS_22,Novel,46,2
BS_22,Predator,37,2
BS_22,Foraging,88.133,3
BS_22,Novel,0,3
BS_22,Predator,22.153,3
BS_24,Foraging,19.443,1
BS_24,Novel,3.414,1
BS_24,Predator,29,1
BS_24,Foraging,51.116,2
BS_24,Novel,29.528,2
BS_24,Predator,0,2
BS_24,Foraging,98.096,3
BS_24,Novel,45.601,3
BS_24,Predator,51.299,3
BS_24,Foraging,44.708,4
BS_24,Novel,89.198,4
BS_24,Predator,2,4
BS_25,Foraging,28,1
BS_25,Novel,73,1
BS_25,Predator,2,1
BS_25,Foraging,1,2
BS_25,Novel,0,2
BS_25,Predator,0,2
BS_25,Foraging,2.414,3
BS_25,Novel,21,3
BS_25,Predator,10.246,3
BS_25,Foraging,0,4
BS_25,Novel,13.071,4
BS_25,Predator,3.236,4
BS_25,Foraging,2,5
BS_25,Novel,31,5
BS_25,Predator,0,5
BS_26,Foraging,0,1
BS_26,Novel,13,1
BS_26,Predator,13.817,1
BS_26,Foraging,4,2
BS_26,Novel,26.236,2
BS_26,Predator,6.414,2
BS_26,Foraging,106.69,3
BS_26,Novel,1,3
BS_26,Predator,27.721,3
BS_26,Foraging,4,4
BS_26,Novel,131.128,4
BS_26,Predator,0,4
BS_26,Foraging,3,5
BS_26,Novel,0,5
BS_26,Predator,9,5
BS_26,Foraging,36,6
BS_26,Novel,0,6
BS_26,Predator,44.221,6
BS_26,Foraging,6.472,7
BS_26,Novel,40.503,7
BS_26,Predator,5,7
BS_27,Foraging,30.079,1
BS_27,Novel,13,1
BS_27,Predator,23,1
BS_27,Foraging,79.472,2
BS_27,Novel,0,2
BS_27,Predator,19.595,2
BS_29,Foraging,0,1
BS_29,Novel,2,1
BS_29,Predator,19.236,1
BS_29,Foraging,1,2
BS_29,Novel,37.083,2
BS_29,Predator,13,2
BS_29,Foraging,6.236,3
BS_29,Novel,8,3
BS_29,Predator,20.899,3
BS_29,Foraging,0,4
BS_29,Novel,34,4
BS_29,Predator,0,4
BS_29,Foraging,18.414,5
BS_29,Novel,0,5
BS_29,Predator,2,5
BS_29,Foraging,19.606,6
BS_29,Novel,48.038,6
BS_29,Predator,0,6
BS_29,Foraging,11,7
BS_29,Novel,2,7
BS_29,Predator,56.505,7
BS_3,Foraging,17.236,1
BS_3,Novel,0,1
BS_3,Predator,1,1
BS_3,Foraging,5,2
BS_3,Novel,30.398,2
BS_3,Predator,24.969,2
BS_3,Foraging,9,3
BS_3,Novel,7,3
BS_3,Predator,67,3
BS_30,Foraging,65.58,1
BS_30,Novel,16.476,1
BS_30,Predator,0,1
BS_30,Foraging,124.989,2
BS_30,Novel,1.414,2
BS_30,Predator,32.266,2
BS_30,Foraging,63,3
BS_30,Novel,17.414,3
BS_30,Predator,23.472,3
BS_30,Foraging,111.757,4
BS_30,Novel,25.472,4
BS_30,Predator,64.703,4
BS_30,Foraging,47.858,5
BS_30,Novel,0,5
BS_30,Predator,6,5
BS_30,Foraging,120.485,6
BS_30,Novel,1,6
BS_30,Predator,31.871,6
BS_31,Foraging,77.045,1
BS_31,Novel,42,1
BS_31,Predator,75.101,1
BS_31,Foraging,89.375,2
BS_31,Novel,0,2
BS_31,Predator,0,2
BS_31,Foraging,106.128,3
BS_31,Novel,56,3
BS_31,Predator,90,3
BS_31,Foraging,49.855,4
BS_31,Novel,6.708,4
BS_31,Predator,22,4
BS_31,Foraging,45.414,5
BS_31,Novel,54.212,5
BS_31,Predator,96.985,5
BS_31,Foraging,56.058,6
BS_31,Novel,10.385,6
BS_31,Predator,51.414,6
BS_32,Foraging,28.457,1
BS_32,Novel,76.155,1
BS_32,Predator,55.425,1
BS_32,Foraging,14.123,2
BS_32,Novel,34.325,2
BS_32,Predator,0,2
BS_32,Foraging,52.313,3
BS_32,Novel,47,3
BS_32,Predator,14,3
BS_32,Foraging,75.314,4
BS_32,Novel,32.007,4
BS_32,Predator,68.325,4
BS_32,Foraging,27,5
BS_32,Novel,71.299,5
BS_32,Predator,92.87,5
BS_37,Foraging,72.192,1
BS_37,Novel,9,1
BS_37,Predator,3,1
BS_37,Foraging,29.506,2
BS_37,Novel,92.124,2
BS_37,Predator,81.316,2
BS_37,Foraging,78.67,3
BS_37,Novel,67.779,3
BS_37,Predator,96.446,3
BS_37,Foraging,12,4
BS_37,Novel,73.523,4
BS_37,Predator,17,4
BS_37,Foraging,19.639,5
BS_37,Novel,43.985,5
BS_37,Predator,26.187,5
BS_39,Foraging,8.828,1
BS_39,Novel,0,1
BS_39,Predator,43.964,1
BS_39,Foraging,10,2
BS_39,Novel,33.547,2
BS_39,Predator,5,2
BS_39,Foraging,0,3
BS_39,Novel,2,3
BS_39,Predator,11.842,3
BS_4,Foraging,0,1
BS_4,Novel,44.265,1
BS_4,Predator,6.842,1
BS_4,Foraging,7.616,2
BS_4,Novel,25,2
BS_4,Predator,63.825,2
BS_4,Foraging,14,3
BS_4,Novel,6.606,3
BS_4,Predator,11.402,3
BS_40,Foraging,0,1
BS_40,Novel,0,1
BS_40,Predator,61,1
BS_40,Foraging,24,2
BS_40,Novel,4,2
BS_40,Predator,7,2
