Indiv.ID,Assay_Type,Assay_Round,Activity,Cage
050718_1,Foraging,1,26,
050718_1,Foraging,2,25,
050718_1,Foraging,3,47,
050718_1,Novel,1,21,
050718_1,Novel,2,39,
050718_1,Novel,3,25,
050718_1,Predator,1,11,
050718_1,Predator,2,25,
050718_1,Predator,3,37,
050718_10,Foraging,1,22,
050718_10,Foraging,2,20,
050718_10,Foraging,3,30,
050718_10,Novel,1,24,
050718_10,Novel,2,18,
050718_10,Novel,3,0,
050718_10,Predator,1,24,
050718_10,Predator,2,3,
050718_10,Predator,3,12,
050718_100,Foraging,1,0,1_3
050718_100,Foraging,2,0,1_3
050718_100,Foraging,3,0,1_3
050718_100,Novel,1,0,1_3
050718_100,Novel,2,0,1_3
050718_100,Novel,3,0,1_3
050718_100,Predator,1,0,1_3
050718_100,Predator,2,0,1_3
050718_100,Predator,3,0,1_3
050718_101,Foraging,1,0,
050718_101,Foraging,2,0,
050718_101,Foraging,3,0,
050718_101,Novel,1,0,
050718_101,Novel,2,0,
050718_101,Novel,3,13,
050718_101,Predator,1,7,
050718_101,Predator,2,1,
050718_101,Predator,3,5,
050718_102,Foraging,1,0,1_3
050718_102,Foraging,2,0,1_3
050718_102,Foraging,3,0,1_3
050718_102,Novel,1,0,1_3
050718_102,Novel,2,0,1_3
050718_102,Novel,3,1,1_3
050718_102,Predator,1,0,1_3
050718_102,Predator,2,0,1_3
050718_102,Predator,3,0,1_3
050718_103,Foraging,1,3,
050718_103,Foraging,2,0,
050718_103,Foraging,3,0,
050718_103,Novel,1,3,
050718_103,Novel,2,0,
050718_103,Novel,3,0,
050718_103,Predator,1,18,
050718_103,Predator,2,21,
050718_103,Predator,3,19,
050718_104,Foraging,1,0,
050718_104,Foraging,2,0,
050718_104,Foraging,3,1,
050718_104,Novel,1,0,
050718_104,Novel,2,2,
050718_104,Novel,3,1,
050718_104,Predator,1,9,
050718_104,Predator,2,1,
050718_104,Predator,3,8,
050718_105,Foraging,1,5,
050718_105,Foraging,2,3,
050718_105,Foraging,3,0,
050718_105,Novel,1,0,
050718_105,Novel,2,0,
050718_105,Novel,3,7,
050718_105,Predator,1,27,
050718_105,Predator,2,0,
050718_105,Predator,3,6,
050718_106,Foraging,1,0,1_3
050718_106,Foraging,2,0,1_3
050718_106,Foraging,3,0,1_3
050718_106,Novel,1,0,1_3
050718_106,Novel,2,0,1_3
050718_106,Novel,3,0,1_3
050718_106,Predator,1,0,1_3
050718_106,Predator,2,0,1_3
050718_106,Predator,3,0,1_3
050718_107,Foraging,1,1,
050718_107,Foraging,2,0,
050718_107,Foraging,3,0,
050718_107,Novel,1,4,
050718_107,Novel,2,6,
050718_107,Novel,3,1,
050718_107,Predator,1,13,
050718_107,Predator,2,3,
050718_107,Predator,3,0,
050718_108,Foraging,1,11,1_11
050718_108,Foraging,2,12,1_11
050718_108,Foraging,3,14,1_11
050718_108,Novel,1,16,1_11
050718_108,Novel,2,19,1_11
050718_108,Novel,3,0,1_11
050718_108,Predator,1,14,1_11
050718_108,Predator,2,14,1_11
050718_108,Predator,3,5,1_11
050718_109,Foraging,1,16,1_2
050718_109,Foraging,2,0,1_2
050718_109,Foraging,3,13,1_2
050718_109,Novel,1,2,1_2
050718_109,Novel,2,7,1_2
050718_109,Novel,3,22,1_2
050718_109,Predator,1,1,1_2
050718_109,Predator,2,20,1_2
050718_109,Predator,3,7,1_2
050718_11,Foraging,1,3,
050718_11,Foraging,2,0,
050718_11,Foraging,3,0,
050718_11,Novel,1,3,
050718_11,Novel,2,0,
050718_11,Novel,3,0,
050718_11,Predator,1,11,
050718_11,Predator,2,6,
050718_11,Predator,3,3,
050718_110,Foraging,1,0,1_3
050718_110,Foraging,2,0,1_3
050718_110,Foraging,3,0,1_3
050718_110,Novel,1,0,1_3
050718_110,Novel,2,0,1_3
050718_110,Novel,3,0,1_3
050718_110,Predator,1,0,1_3
050718_110,Predator,2,0,1_3
050718_110,Predator,3,1,1_3
050718_111,Foraging,1,9,
050718_111,Foraging,2,2,
050718_111,Foraging,3,3,
050718_111,Novel,1,9,
050718_111,Novel,2,20,
050718_111,Novel,3,13,
050718_111,Predator,1,0,
050718_111,Predator,2,0,
050718_111,Predator,3,17,
050718_112,Foraging,1,8,
050718_112,Foraging,2,7,
050718_112,Foraging,3,0,
050718_112,Novel,1,5,
050718_112,Novel,2,1,
050718_112,Novel,3,2,
050718_112,Predator,1,0,
050718_112,Predator,2,0,
050718_112,Predator,3,2,
050718_114,Foraging,1,1,
050718_114,Foraging,2,0,
050718_114,Foraging,3,0,
050718_114,Novel,1,0,
050718_114,Novel,2,0,
050718_114,Novel,3,0,
050718_114,Predator,1,0,
050718_114,Predator,2,0,
050718_114,Predator,3,0,
050718_115,Foraging,1,2,
050718_115,Foraging,2,0,
050718_115,Foraging,3,0,
050718_115,Novel,1,0,
050718_115,Novel,2,9,
050718_115,Novel,3,2,
050718_115,Predator,1,0,
