Assay.Block,Terrarium,Indiv.ID,Mass,Foraging.Activity,Novel.Activity,Pred.Activity,Avg.Activity,SCORE,Personality,Stocked.As,Cage.Assign,Exp,Treatment,Stock.Date,CRP_Pop,CRP_Indiv,CRP
1,43,050718_43,0.04,1,2,1,1.3,1,Shy,Shy,1_4,Y,ShyAmbush,Jul-9-18,NA,0.333333333,0.009824284
3,145,130718_145,0.128,0,0,0,0,1,Shy,Shy,4_7,Y,ShyAmbush,Jul-15-18,0.8101,0,0
3,228,130718_228,0.09,0,0,0,0,1,Shy,Shy,4_9,Y,Shy,Jul-15-18,6.2404,0,0
3,228,130718_228,0.09,0,0,0,0,1,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,145,130718_145,0.128,0,0,0,0,1,Shy,Shy,NA,N,NA,NA,NA,NA,NA
1,110,050718_110,0.03,1,0,1,0.7,1.25,Shy,Shy,1_3,Y,Shy,Jul-9-18,NA,0.333333333,0.027511621
3,235,130718_235,0.04,0,0,0,0,1.25,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,23,120718_23,0.05,0,0,0,0,1.75,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,36,120718_36,0.05,0,2,3,1.7,1.8,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,194,120718_194,0.05,0,1,0,0.3,1.99,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,133,120718_133,0.06,1,0,0,0.3,2,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,230,130718_230,0.07,0,0,0,0,2,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,118,120718_118,0.07,1,0,0,0.3,2.13,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,70,100718_70,0.03,0,0,0,0,2.24,Shy,Shy,NA,N,NA,NA,NA,NA,NA
1,50,050718_50,0.04,1,0,0,0.3,2.25,Shy,Shy,1_4,Y,ShyAmbush,Jul-9-18,NA,0.333333333,0.009824284
3,201,130718_201,0.134,2,0,0,0.7,2.38,Shy,Shy,4_11,Y,ShyAmbush,Jul-15-18,5.7,0,0
1,72,050718_72,0.05,2,0,0,0.7,2.5,Shy,Shy,1_6,Y,Shy,Jul-9-18,NA,1.333333333,0.110046485
3,155,120718_155,0.1,0,4,0,1.3,2.75,Shy,Shy,NA,N,NA,NA,NA,NA,NA
1,106,050718_106,0.03,0,0,1,0.3,2.88,Shy,Shy,1_3,Y,Shy,Jul-9-18,NA,0.333333333,0.027511621
3,231,130718_231,0.07,0,0,0,0,3,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,158,120718_158,0.14,0,1,0,0.3,3.04,Shy,Shy,5_3,Y,ShyAmbush,Jul-15-18,8.9545,0.1111,0.01240717
3,226,130718_226,0.06,5,0,0,1.7,3.13,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,140,130718_140,0.02,0,0,0,0,3.25,Shy,Shy,5_10,Y,ShyAmbush,Jul-15-18,2.4949,0,0
3,140,130718_140,0.02,0,0,0,0,3.25,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,225,130718_225,0.12,0,1,0,0.3,3.27,Shy,Shy,4_7,Y,ShyAmbush,Jul-15-18,0.8101,0.1111,0.137143563
3,225,130718_225,0.12,0,1,0,0.3,3.27,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,88,120718_88,0.04,0,0,0,0,3.4,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,34,100718_34,0.03,5.2,3.6,0,2.9,3.43,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,19,110718_19,0.03,0,0,0,0,3.45,Shy,Shy,NA,N,NA,NA,NA,NA,NA
3,67,100718_67,0.03,0,0,1,0.3,3.49,Shy,Shy,4_11,Y,ShyAmbush,Jul-15-18,5.7,0,0
3,67,100718_67,0.03,0,0,1,0.3,3.49,Shy,Shy,NA,N,NA,NA,NA,NA,NA
1,100,050718_100,0.04,0,0,0,0,3.5,Shy,Shy,1_3,Y,Shy,Jul-9-18,12.11609195,0,0
1,56,050718_56,0.05,0,0,0,0,3.5,Shy,Shy,1_6,Y,Shy,Jul-9-18,NA,0,0
1,87,050718_87,0.03,0,0,0,0,3.5,Shy,Shy,1_8,Y,ShyAmbush,Jul-9-18,NA,0,0
1,99,050718_99,0.04,0,0,0,0,3.5,Shy,Shy,1_8,Y,ShyAmbush,Jul-9-18,NA,0,0
2,111,090718_111,0.04,0,0,0,0,3.5,Shy,Shy,2_10,Y,ShyAmbush,Jul-12-18,NA,0,0
2_(3),19,100718_19,0.11,0,0,0,0,3.5,Shy,Shy,2_11,Y,Shy,Jul-12-18,NA,0,0
2_(3),20,100718_20,0.04,0,0,0,0,3.5,Shy,Shy,2_14,Y,Shy,Jul-12-18,NA,0,0
2,38,090718_38,0.11,2,0,0,0.7,3.5,Shy,Shy,2_9,Y,Shy,Jul-12-18,NA,1.333333333,0.007001877
3,115,130718_115,0.13,0,0,0,0,3.5,Shy,Shy,5_1,Y,Shy,Jul-15-18,3.5909,0,0
3,143,120718_143,0.03,0,0,0,0,3.5,Shy,Shy,NA,N,NA,NA,NA,NA,NA
