Assay.Type,Indiv.ID,Assay_Round,Activity
Foraging,1_11.Az,1,1
Foraging,1_11.Az,2,3
Foraging,1_11.Az,3,1
Novel,1_11.Az,1,34
Novel,1_11.Az,2,44
Novel,1_11.Az,3,37
Predator,1_11.Az,1,0
Predator,1_11.Az,2,0
Predator,1_11.Az,3,13
Foraging,1_11.Bz,1,3
Foraging,1_11.Bz,2,6
Foraging,1_11.Bz,3,7
Novel,1_11.Bz,1,15
Novel,1_11.Bz,2,13
Novel,1_11.Bz,3,27
Predator,1_11.Bz,1,0
Predator,1_11.Bz,2,0
Predator,1_11.Bz,3,0
Foraging,1_2.Dz,1,6
Foraging,1_2.Dz,2,7
Foraging,1_2.Dz,3,6
Novel,1_2.Dz,1,38
Novel,1_2.Dz,2,14
Novel,1_2.Dz,3,27
Predator,1_2.Dz,1,4
Predator,1_2.Dz,2,31
Predator,1_2.Dz,3,3
Foraging,1_2.Ez,1,0
Foraging,1_2.Ez,2,0
Foraging,1_2.Ez,3,0
Novel,1_2.Ez,1,0
Novel,1_2.Ez,2,0
Novel,1_2.Ez,3,0
Predator,1_2.Ez,1,0
Predator,1_2.Ez,2,0
Predator,1_2.Ez,3,0
Foraging,1_3.Az,1,0
Foraging,1_3.Az,2,1
Foraging,1_3.Az,3,1
Novel,1_3.Az,1,0
Novel,1_3.Az,2,0
Novel,1_3.Az,3,0
Predator,1_3.Az,1,1
Predator,1_3.Az,2,0
Predator,1_3.Az,3,0
Foraging,1_3.Bz,1,0
Foraging,1_3.Bz,2,0
Foraging,1_3.Bz,3,0
Novel,1_3.Bz,1,0
Novel,1_3.Bz,2,0
Novel,1_3.Bz,3,0
Predator,1_3.Bz,1,7
Predator,1_3.Bz,2,0
Predator,1_3.Bz,3,0
Foraging,1_3.Cz,1,1
Foraging,1_3.Cz,2,0
Foraging,1_3.Cz,3,0
Novel,1_3.Cz,1,27
Novel,1_3.Cz,2,19
Novel,1_3.Cz,3,8
Predator,1_3.Cz,1,4
Predator,1_3.Cz,2,0
Predator,1_3.Cz,3,0
Foraging,1_3.Dz,1,2
Foraging,1_3.Dz,2,16
Foraging,1_3.Dz,3,37
Novel,1_3.Dz,1,0
Novel,1_3.Dz,2,0
Novel,1_3.Dz,3,0
Predator,1_3.Dz,1,5
Predator,1_3.Dz,2,5
Predator,1_3.Dz,3,32
Foraging,1_4.Az,1,0
Foraging,1_4.Az,2,0
Foraging,1_4.Az,3,0
Novel,1_4.Az,1,0
Novel,1_4.Az,2,0
Novel,1_4.Az,3,0
Predator,1_4.Az,1,10
Predator,1_4.Az,2,0
Predator,1_4.Az,3,0
Foraging,1_4.Bz,1,13
Foraging,1_4.Bz,2,15
Foraging,1_4.Bz,3,25
Novel,1_4.Bz,1,26
Novel,1_4.Bz,2,31
Novel,1_4.Bz,3,29
Predator,1_4.Bz,1,25
Predator,1_4.Bz,2,8
Predator,1_4.Bz,3,12
Foraging,1_4.Cz,1,17
Foraging,1_4.Cz,2,5
Foraging,1_4.Cz,3,0
Novel,1_4.Cz,1,0
Novel,1_4.Cz,2,0
Novel,1_4.Cz,3,0
Predator,1_4.Cz,1,0
Predator,1_4.Cz,2,0
Predator,1_4.Cz,3,0
Foraging,1_5.Az,1,20
Foraging,1_5.Az,2,5
Foraging,1_5.Az,3,10
Novel,1_5.Az,1,19
Novel,1_5.Az,2,33
Novel,1_5.Az,3,10
Predator,1_5.Az,1,7
Predator,1_5.Az,2,10
Predator,1_5.Az,3,25
Foraging,1_5.Bz,1,0
Foraging,1_5.Bz,2,0
Foraging,1_5.Bz,3,2
Novel,1_5.Bz,1,0
Novel,1_5.Bz,2,18
Novel,1_5.Bz,3,12
Predator,1_5.Bz,1,2
Predator,1_5.Bz,2,0
Predator,1_5.Bz,3,0
Foraging,1_5.Cz,1,12
Foraging,1_5.Cz,2,9
Foraging,1_5.Cz,3,0
Novel,1_5.Cz,1,11
Novel,1_5.Cz,2,24
Novel,1_5.Cz,3,3
Predator,1_5.Cz,1,27
Predator,1_5.Cz,2,17
Predator,1_5.Cz,3,1
Foraging,1_5.Dz,1,17
Foraging,1_5.Dz,2,6
Foraging,1_5.Dz,3,14
Novel,1_5.Dz,1,17
Novel,1_5.Dz,2,11
Novel,1_5.Dz,3,5
Predator,1_5.Dz,1,14
Predator,1_5.Dz,2,22
Predator,1_5.Dz,3,15
Foraging,1_6.Az,1,0
Foraging,1_6.Az,2,20
Foraging,1_6.Az,3,2
Novel,1_6.Az,1,0
Novel,1_6.Az,2,2
Novel,1_6.Az,3,8
Predator,1_6.Az,1,13
Predator,1_6.Az,2,7
Predator,1_6.Az,3,12
Foraging,1_8.Az,1,9
Foraging,1_8.Az,2,14
Foraging,1_8.Az,3,8
Novel,1_8.Az,1,0
Novel,1_8.Az,2,0
Novel,1_8.Az,3,0
Predator,1_8.Az,1,0
Predator,1_8.Az,2,0
Predator,1_8.Az,3,0
Foraging,1_8.Bz,1,3
Foraging,1_8.Bz,2,22
Foraging,1_8.Bz,3,3
Novel,1_8.Bz,1,4
Novel,1_8.Bz,2,0
Novel,1_8.Bz,3,0
Predator,1_8.Bz,1,0
Predator,1_8.Bz,2,0
Predator,1_8.Bz,3,0
Foraging,1_8.Cz,1,0
Foraging,1_8.Cz,2,0
Foraging,1_8.Cz,3,0
Novel,1_8.Cz,1,0
Novel,1_8.Cz,2,0
Novel,1_8.Cz,3,0
Predator,1_8.Cz,1,0
Predator,1_8.Cz,2,0
Predator,1_8.Cz,3,0
Foraging,1_8.Ez,1,0
Foraging,1_8.Ez,2,0
Foraging,1_8.Ez,3,0
Novel,1_8.Ez,1,0
Novel,1_8.Ez,2,0
Novel,1_8.Ez,3,0
Predator,1_8.Ez,1,0
Predator,1_8.Ez,2,0
Predator,1_8.Ez,3,0
Foraging,2_10.Az,1,0
Foraging,2_10.Az,2,0
Foraging,2_10.Az,3,0
Novel,2_10.Az,1,0
Novel,2_10.Az,2,0
Novel,2_10.Az,3,0
Predator,2_10.Az,1,0
Predator,2_10.Az,2,0
Predator,2_10.Az,3,0
Foraging,2_10.Bz,1,0
Foraging,2_10.Bz,2,0
Foraging,2_10.Bz,3,0
Novel,2_10.Bz,1,15
Novel,2_10.Bz,2,16
Novel,2_10.Bz,3,0
Predator,2_10.Bz,1,0
Predator,2_10.Bz,2,0
Predator,2_10.Bz,3,0
Foraging,2_11.Az,1,0
Foraging,2_11.Az,2,0
Foraging,2_11.Az,3,0
Novel,2_11.Az,1,0
Novel,2_11.Az,2,0
Novel,2_11.Az,3,0
Predator,2_11.Az,1,0
Predator,2_11.Az,2,0
Predator,2_11.Az,3,0
Foraging,2_11.Bz,1,0
Foraging,2_11.Bz,2,0
Foraging,2_11.Bz,3,2
Novel,2_11.Bz,1,0
Novel,2_11.Bz,2,0
Novel,2_11.Bz,3,0
Predator,2_11.Bz,1,16
Predator,2_11.Bz,2,3
Predator,2_11.Bz,3,0
Foraging,2_11.Cz,1,1
Foraging,2_11.Cz,2,7
Foraging,2_11.Cz,3,0
Novel,2_11.Cz,1,6
Novel,2_11.Cz,2,16
Novel,2_11.Cz,3,1
Predator,2_11.Cz,1,0
Predator,2_11.Cz,2,2
Predator,2_11.Cz,3,36
Foraging,2_13.Bz,1,0
Foraging,2_13.Bz,2,0
Foraging,2_13.Bz,3,0
Novel,2_13.Bz,1,0
Novel,2_13.Bz,2,0
Novel,2_13.Bz,3,0
Predator,2_13.Bz,1,0
Predator,2_13.Bz,2,0
Predator,2_13.Bz,3,0
Foraging,2_14.Az,1,14
Foraging,2_14.Az,2,5
Foraging,2_14.Az,3,1
Novel,2_14.Az,1,40
Novel,2_14.Az,2,22
Novel,2_14.Az,3,39
Predator,2_14.Az,1,26
Predator,2_14.Az,2,27
Predator,2_14.Az,3,50
Foraging,2_2.Az,1,0
Foraging,2_2.Az,2,0
Foraging,2_2.Az,3,0
Novel,2_2.Az,1,0
Novel,2_2.Az,2,0
Novel,2_2.Az,3,0
Predator,2_2.Az,1,0
Predator,2_2.Az,2,0
Predator,2_2.Az,3,0
Foraging,2_2.Bz,1,1
Foraging,2_2.Bz,2,6
Foraging,2_2.Bz,3,4
Novel,2_2.Bz,1,18
Novel,2_2.Bz,2,11
Novel,2_2.Bz,3,14
Predator,2_2.Bz,1,26
Predator,2_2.Bz,2,31
Predator,2_2.Bz,3,5
Foraging,2_2.Cz,1,10
Foraging,2_2.Cz,2,16
Foraging,2_2.Cz,3,6
Novel,2_2.Cz,1,18
Novel,2_2.Cz,2,3
Novel,2_2.Cz,3,0
Predator,2_2.Cz,1,0
Predator,2_2.Cz,2,0
Predator,2_2.Cz,3,0
Foraging,2_2.Dz,1,0
Foraging,2_2.Dz,2,0
Foraging,2_2.Dz,3,0
Novel,2_2.Dz,1,0
Novel,2_2.Dz,2,0
Novel,2_2.Dz,3,0
Predator,2_2.Dz,1,0
Predator,2_2.Dz,2,0
Predator,2_2.Dz,3,0
Foraging,2_2.Ez,1,0
Foraging,2_2.Ez,2,44
Foraging,2_2.Ez,3,8
Novel,2_2.Ez,1,0
