Indiv.ID,Assay_Type,Activity
1_11.A,Foraging,14.4
1_11.A,Novel,127.8
1_11.A,Pred,13.1
1_11.B,Foraging,19.9
1_11.B,Novel,65.2
1_11.B,Pred,0
1_2.D,Foraging,21.3
1_2.D,Novel,82.1
1_2.D,Pred,54.7
1_2.E,Foraging,0
1_2.E,Novel,0
1_2.E,Pred,0
1_3.A,Foraging,2
1_3.A,Novel,6.1
1_3.A,Pred,1
1_3.B,Foraging,0
1_3.B,Novel,3
1_3.B,Pred,10.6
1_3.C,Foraging,1
1_3.C,Novel,54.5
1_3.C,Pred,15.8
1_3.D,Foraging,57.7
1_3.D,Novel,0
1_3.D,Pred,88.3
1_4.A,Foraging,1
1_4.A,Novel,0
1_4.A,Pred,15.2
1_4.B,Foraging,60
1_4.B,Novel,94
1_4.B,Pred,47
1_4.C,Foraging,27
1_4.C,Novel,0
1_4.C,Pred,0
1_5.A,Foraging,36.1
1_5.A,Novel,66
1_5.A,Pred,50.3
1_5.B,Foraging,2.2
1_5.B,Novel,29.7
1_5.B,Pred,17.9
1_5.C,Foraging,36.1
1_5.C,Novel,68.9
1_5.C,Pred,49
1_5.D,Foraging,50.6
1_5.D,Novel,39.8
1_5.D,Pred,58
1_6.A,Foraging,21.6
1_6.A,Novel,10.3
1_6.A,Pred,35.4
1_8.A,Foraging,42.9
1_8.A,Novel,5
1_8.A,Pred,0
1_8.B,Foraging,27.4
1_8.B,Novel,6
1_8.B,Pred,0
1_8.C,Foraging,0
1_8.C,Novel,6.1
1_8.C,Pred,0
1_8.E,Foraging,0
1_8.E,Novel,0
1_8.E,Pred,0
2_10.A,Foraging,2.2
2_10.A,Novel,0
2_10.A,Pred,0
2_10.B,Foraging,0
2_10.B,Novel,33
2_10.B,Pred,0
2_11.A,Foraging,0
2_11.A,Novel,0
2_11.A,Pred,0
2_11.B,Foraging,2
2_11.B,Novel,0
2_11.B,Pred,26.1
2_11.C,Foraging,7.6
2_11.C,Novel,42.7
2_11.C,Pred,38.5
2_13.B,Foraging,0
2_13.B,Novel,0
2_13.B,Pred,0
2_14.A,Foraging,31.7
2_14.A,Novel,113
2_14.A,Pred,118
2_2.A,Foraging,0
2_2.A,Novel,0
2_2.A,Pred,0
2_2.B,Foraging,11
2_2.B,Novel,52.3
2_2.B,Pred,63.7
2_2.C,Foraging,32
2_2.C,Novel,24.2
2_2.C,Pred,3.6
2_2.D,Foraging,0
2_2.D,Novel,0
2_2.D,Pred,0
2_2.E,Foraging,52.6
2_2.E,Novel,2
2_2.E,Pred,0
2_4.B,Foraging,0
2_4.B,Novel,0
2_4.B,Pred,24
2_4.C,Foraging,70.3
2_4.C,Novel,86
2_4.C,Pred,75.3
2_8.B,Foraging,4
2_8.B,Novel,2
2_8.B,Pred,6
2_8.C,Foraging,2
2_8.C,Novel,44.3
2_8.C,Pred,0
3_1.A,Foraging,29
3_1.A,Novel,3
3_1.A,Pred,40.5
3_1.B,Foraging,0
3_1.B,Novel,0
3_1.B,Pred,0
3_12.A,Foraging,34.1
3_12.A,Novel,10
3_12.A,Pred,53.2
3_12.B,Foraging,59.3
3_12.B,Novel,56.5
3_12.B,Pred,25.5
3_12.D,Foraging,86.5
3_12.D,Novel,26.4
3_12.D,Pred,75.4
3_12.E,Foraging,50.8
3_12.E,Novel,17.4
3_12.E,Pred,1
3_14.A,Foraging,22.3
3_14.A,Novel,3
3_14.A,Pred,2
3_4.A,Foraging,53.4
3_4.A,Novel,93.1
3_4.A,Pred,77.4
3_4.B,Foraging,54.5
3_4.B,Novel,55.9
3_4.B,Pred,80.2
3_4.C,Foraging,25.3
3_4.C,Novel,2
3_4.C,Pred,38.4
3_4.D,Foraging,9
3_4.D,Novel,0
3_4.D,Pred,0
3_5.A,Foraging,80.6
3_5.A,Novel,74.2
3_5.A,Pred,77.2
3_5.B,Foraging,65.3
3_5.B,Novel,28.9
3_5.B,Pred,0
3_6.A,Foraging,43.2
3_6.A,Novel,36.5
3_6.A,Pred,27.9
3_6.B,Foraging,69.5
3_6.B,Novel,53.7
3_6.B,Pred,17
3_9.A,Foraging,48.7
3_9.A,Novel,38.1
3_9.A,Pred,41
3_9.B,Foraging,71
3_9.B,Novel,59.2
3_9.B,Pred,53.7
4_10.A,Foraging,21.6
4_10.A,Novel,37
4_10.A,Pred,58.6
4_10.B,Foraging,0
4_10.B,Novel,0
4_10.B,Pred,0
4_10.C,Foraging,74
4_10.C,Novel,56.9
4_10.C,Pred,64.9
4_11.A,Foraging,20
4_11.A,Novel,26.7
4_11.A,Pred,38.8
4_11.B,Foraging,0
4_11.B,Novel,2
4_11.B,Pred,0
4_4.A,Foraging,55.8
4_4.A,Novel,60.3
4_4.A,Pred,61.8
4_6.A,Foraging,0
4_6.A,Novel,0
4_6.A,Pred,0
4_6.B,Foraging,0
4_6.B,Novel,0
4_6.B,Pred,0
4_7.A,Foraging,12.4
4_7.A,Novel,34.4
4_7.A,Pred,0
4_7.B,Foraging,90.4
4_7.B,Novel,71.9
4_7.B,Pred,7
4_7.C,Foraging,0
4_7.C,Novel,11.8
4_7.C,Pred,38.8
4_7.D,Foraging,2.4
4_7.D,Novel,1
4_7.D,Pred,27.6
4_8.A,Foraging,1
4_8.A,Novel,2.8
4_8.A,Pred,33.3
4_8.B,Foraging,48.8
4_8.B,Novel,51.2
4_8.B,Pred,28
4_8.C,Foraging,4
4_8.C,Novel,0
4_8.C,Pred,52.5
4_8.D,Foraging,4
4_8.D,Novel,0
4_8.D,Pred,0
5_10.A,Foraging,66.8
5_10.A,Novel,71.8
5_10.A,Pred,57.1
5_10.B,Foraging,35.7
5_10.B,Novel,5
5_10.B,Pred,1
5_10.C,Foraging,37.8
5_10.C,Novel,83.9
5_10.C,Pred,94.9
5_3.A,Foraging,47
5_3.A,Novel,61.8
5_3.A,Pred,172
5_3.B,Foraging,47
5_3.B,Novel,64.9
5_3.B,Pred,43
5_3.C,Foraging,59.3
5_3.C,Novel,9
5_3.C,Pred,0
5_3.D,Foraging,0
5_3.D,Novel,25.7
5_3.D,Pred,22
5_4.A,Foraging,90.4
5_4.A,Novel,0
5_4.A,Pred,0
5_7.A,Foraging,1.4
5_7.A,Novel,31.1
5_7.A,Pred,21
5_8.A,Foraging,130.8
5_8.A,Novel,105.5
5_8.A,Pred,120.2
5_8.B,Foraging,101.9
5_8.B,Novel,120.2
5_8.B,Pred,107.8
5_8.C,Foraging,18.4
5_8.C,Novel,10.8
5_8.C,Pred,0
5_8.D,Foraging,20.9
5_8.D,Novel,0
5_8.D,Pred,0
5_8.E,Foraging,29
5_8.E,Novel,54.1
5_8.E,Pred,11.1
5_9.A,Foraging,26.1
5_9.A,Novel,12.9
5_9.A,Pred,27
5_9.B,Foraging,0
5_9.B,Novel,0
5_9.B,Pred,0
5_9.D,Foraging,37
5_9.D,Novel,38
5_9.D,Pred,10
